#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
Rome;Rome;;;;;;;;;;;;;x
Jomsborg;Jomsborg;;;;;;;;;;;;;x
Finland;Finland Proper;;;;;;;;;;;;;x
Tavastland;Tavastia;;;;;;;;;;;;;x
Satakunda;Satakunta;;;;;;;;;;;;;x
Savolax;Savonia;;;;;;;;;;;;;x
PROV908;Rub‘ al Khali;;;;;;;;;;;;;x
d_socotra;Socotra;;;;;;;;;;;;;x
d_yaik;Ural;;;;;;;;;;;;;x
d_yaik_adj;Ural;;;;;;;;;;;;;x
c_guryev_adj;Saray-Jük;;;;;;;;;;;;;x
c_sirjan_adj;Sirjan;;;;;;;;;;;;;x
c_ghazna_adj;Ghazni;;;;;;;;;;;;;x
c_kabul_adj;Kabul;;;;;;;;;;;;;x
c_khuttal_adj;Khuttalan;;;;;;;;;;;;;x
c_sibir_adj;Tobol;;;;;;;;;;;;;x
c_otrar_adj;Otrar;;;;;;;;;;;;;x
c_turgay_adj;Turgai;;;;;;;;;;;;;x
c_balkhash_adj;Balkhash;;;;;;;;;;;;;x
c_socotra_adj;Socotran;;;;;;;;;;;;;x
e_rajastan;Rajasthan;;;;;;;;;;;;;x
k_sindh;Sindh;;;;;;;;;;;;;x
d_sauvira;Sauvira;;;;;;;;;;;;;x
d_bhakkar;Bhakkar;;;;;;;;;;;;;x
k_punjab;Punjab;;;;;;;;;;;;;x
d_multan;Multan;;;;;;;;;;;;;x
d_lahore;Lahore;;;;;;;;;;;;;x
d_gandhara;Gandhara;;;;;;;;;;;;;x
k_delhi;Delhi;;;;;;;;;;;;;x
d_kuru;Kuru;;;;;;;;;;;;;x
d_haritanaka;Haryana;;;;;;;;;;;;;x
d_mathura;Mathura;;;;;;;;;;;;;x
d_vodamayutja;Budaun;;;;;;;;;;;;;x
k_gujarat;Gujarat;;;;;;;;;;;;;x
d_gurjara_mandala;Gujarat;;;;;;;;;;;;;x
d_anartta;Anarta;;;;;;;;;;;;;x
d_saurashtra;Saurashtra;;;;;;;;;;;;;x
d_lata;Lata;;;;;;;;;;;;;x
k_rajputana;Rajputana;;;;;;;;;;;;;x
d_maru;Marwar;;;;;;;;;;;;;x
d_jangladesh;Jangladesh;;;;;;;;;;;;;x
d_stravani;Stravani;;;;;;;;;;;;;x
d_medapata;Mewar;;;;;;;;;;;;;x
d_ajmer;Ajmer;;;;;;;;;;;;;x
k_malwa;Malwa;;;;;;;;;;;;;x
d_dadhipadra;Avanti;;;;;;;;;;;;;x
d_akara_dasarna;Dasharna;;;;;;;;;;;;;x
d_anupa;Anupa;;;;;;;;;;;;;x
k_kosala;Kosala;;;;;;;;;;;;;x
d_kanyakubja;Kannauj;;;;;;;;;;;;;x
d_saryupara;Saryupara;;;;;;;;;;;;;x
d_jejakabhukti;Bundelkhand;;;;;;;;;;;;;x
c_kanyakubja_adj;Kannauj;;;;;;;;;;;;;x
c_lakhnau_adj;Lucknow;;;;;;;;;;;;;x
c_kalpi_adj;Kalpi;;;;;;;;;;;;;x
c_bharauli_adj;Barauli;;;;;;;;;;;;;x
c_prayaga_adj;Allahabad;;;;;;;;;;;;;x
c_asni_adj;Asni;;;;;;;;;;;;;x
c_naimisa_adj;Naimisha;;;;;;;;;;;;;x
c_sravasti_adj;Sravasti;;;;;;;;;;;;;x
c_ayodhya_adj;Ayodhya;;;;;;;;;;;;;x
c_mahoba_adj;Mahoba;;;;;;;;;;;;;x
c_kalanjara_adj;Kalanjara;;;;;;;;;;;;;x
c_damoh_adj;Damoh;;;;;;;;;;;;;x
c_gurgi_adj;Gurgi;;;;;;;;;;;;;x
c_delhi_adj;Delhi;;;;;;;;;;;;;x
c_hastinapura_adj;Hastinapur;;;;;;;;;;;;;x
c_sthanisvara_adj;Thanesar;;;;;;;;;;;;;x
c_hisar_adj;Hisar;;;;;;;;;;;;;x
c_tribandapura_adj;Tribandapura;;;;;;;;;;;;;x
c_sarasvati_adj;Saraswati;;;;;;;;;;;;;x
c_mathura_adj;Mathura;;;;;;;;;;;;;x
c_kol_adj;Aligarh;;;;;;;;;;;;;x
c_sripatha_adj;Bayana;;;;;;;;;;;;;x
c_vodamayutja_adj;Budaun;;;;;;;;;;;;;x
c_sambhal_adj;Sambhal;;;;;;;;;;;;;x
c_katehar_adj;Rohilkhand;;;;;;;;;;;;;x
c_dadhipadra_adj;Dahod;;;;;;;;;;;;;x
c_dhara_adj;Dhar;;;;;;;;;;;;;x
c_dasapura_adj;Mandsaur;;;;;;;;;;;;;x
c_ujjayini_adj;Ujjain;;;;;;;;;;;;;x
c_sarangpur_adj;Sarangpur;;;;;;;;;;;;;x
c_vidisa_adj;Vidisha;;;;;;;;;;;;;x
c_chanderi_adj;Chanderi;;;;;;;;;;;;;x
c_candhoba_adj;Candhoba;;;;;;;;;;;;;x
c_mandapika_adj;Mandu;;;;;;;;;;;;;x
c_asirgarh_adj;Asirgarh;;;;;;;;;;;;;x
c_burhanpur_adj;Burhanpur;;;;;;;;;;;;;x
c_thalner_adj;Thalner;;;;;;;;;;;;;x
c_sarasvata_mandala_adj;Sarasvata;;;;;;;;;;;;;x
c_khetaka_adj;Kheda;;;;;;;;;;;;;x
c_mohadavasaka_adj;Modasa;;;;;;;;;;;;;x
c_dhamalpur_adj;Dhrol;;;;;;;;;;;;;x
c_dvaraka_adj;Dwarka;;;;;;;;;;;;;x
c_kutch_adj;Kutch;;;;;;;;;;;;;x
c_bhumilka_adj;Bilkha;;;;;;;;;;;;;x
c_somnath_adj;Somnath;;;;;;;;;;;;;x
c_vardhamana_adj;Wadhwan;;;;;;;;;;;;;x
c_valabhi_adj;Vallabhi;;;;;;;;;;;;;x
c_navasarika_adj;Navsari;;;;;;;;;;;;;x
c_daman_adj;Daman;;;;;;;;;;;;;x
c_vadodara_adj;Vadodara;;;;;;;;;;;;;x
c_mandavyapura_adj;Mandore;;;;;;;;;;;;;x
c_medantaka_adj;Merta;;;;;;;;;;;;;x
c_godwad_adj;Gorwar;;;;;;;;;;;;;x
c_vikramapura_adj;Bikampur;;;;;;;;;;;;;x
c_reni_adj;Taranagar;;;;;;;;;;;;;x
c_nagauda_adj;Nagaur;;;;;;;;;;;;;x
c_ludrava_adj;Lodhruva;;;;;;;;;;;;;x
c_vijnot_adj;Vijnot;;;;;;;;;;;;;x
c_satyapura_adj;Sanchore;;;;;;;;;;;;;x
c_medapata_adj;Mewar;;;;;;;;;;;;;x
c_chitrakut_adj;Chittorgarh;;;;;;;;;;;;;x
c_kota_adj;Kota;;;;;;;;;;;;;x
c_ajayameru_adj;Ajmer;;;;;;;;;;;;;x
c_ranthambore_adj;Ranthambore;;;;;;;;;;;;;x
c_vairata_adj;Bairat;;;;;;;;;;;;;x
c_debul_adj;Debal;;;;;;;;;;;;;x
c_sonda_adj;Sodha;;;;;;;;;;;;;x
c_mansura_adj;Mansura;;;;;;;;;;;;;x
c_ranikot_adj;Ranikot;;;;;;;;;;;;;x
c_siwistan_adj;Siwistan;;;;;;;;;;;;;x
c_bhakkar_adj;Bhakkar;;;;;;;;;;;;;x
c_aror_adj;Aror;;;;;;;;;;;;;x
c_rajanpur_adj;Rajanpur;;;;;;;;;;;;;x
c_sibi_adj;Sibi;;;;;;;;;;;;;x
c_multan_adj;Multan;;;;;;;;;;;;;x
c_kafirkot_adj;Kafir Kot;;;;;;;;;;;;;x
c_uch_adj;Uch;;;;;;;;;;;;;x
c_karur_adj;Kahror Pacca;;;;;;;;;;;;;x
c_karor_adj;Karor;;;;;;;;;;;;;x
c_bannu_adj;Bannu;;;;;;;;;;;;;x
c_lahur_adj;Lahore;;;;;;;;;;;;;x
c_dipalpur_adj;Dipalpur;;;;;;;;;;;;;x
c_bhera_adj;Bhera;;;;;;;;;;;;;x
c_shorkot_adj;Shorkot;;;;;;;;;;;;;x
c_sakala_adj;Sagala;;;;;;;;;;;;;x
c_trigarta_adj;Trigarta;;;;;;;;;;;;;x
c_gurjaratra_adj;Gujrat;;;;;;;;;;;;;x
c_udabhanda_adj;Muzaffarabad;;;;;;;;;;;;;x
c_purushapura_adj;Peshawar;;;;;;;;;;;;;x
c_nandana_adj;Nandana;;;;;;;;;;;;;x
c_kasmira_adj;Kasmira;;;;;;;;;;;;;x
c_wana_adj;Loralai;;;;;;;;;;;;;x
c_kandail_adj;Kandail;;;;;;;;;;;;;x
title_imperial_eunuch;Parakoimomenos;;;;;;;;;;;;;x
title_imperial_eunuch_desc;The parakoimomenos, “the one who sleeps beside the Emperor’s chamber,” is a prestigious office at the Imperial Court reserved for eunuchs, who are valued for their perceived loyalty and discretion.;;;;;;;;;;;;;x
title_court_eunuch;Court Eunuch;;;;;;;;;;;;;x
title_court_eunuch_desc;Eunuchs perform many valued court functions and can be trusted in the presence of women.;;;;;;;;;;;;;x
title_hermetics_apprentice;Apprentice;;;;;;;;;;;;;x
title_hermetics_apprentice_desc;Hermetic scholars may chose an apprentice. In exchange for tutoring, the apprentice will take care of one’s laboratory and assist during experiments.;;;;;;;;;;;;;x
temple_baron_female_christian;Bishop;;;;;;;;;;;;;x
hospital_building_1;Sickhouse;;;;;;;;;;;;;x
hospital_building_1_desc;A basic building to house the sick.;;;;;;;;;;;;;x
hospital_building_2;Expanded Sickhouse;;;;;;;;;;;;;x
hospital_building_2_desc;An expanded building to house more patients.;;;;;;;;;;;;;x
